fortune 2025 rank,name,type,id
1,Amazon,Organization,https://fortune.com/company/amazon-com/
2,Walmart,Organization,https://fortune.com/company/walmart/
3,UnitedHealth Group,Organization,https://fortune.com/company/unitedhealth-group/
4,Apple,Organization,https://fortune.com/company/apple/
5,Alphabet,Organization,https://fortune.com/company/alphabet/
6,CVS Health,Organization,https://fortune.com/company/cvs-health/
7,Berkshire Hathaway,Organization,https://fortune.com/company/berkshire-hathaway/
8,McKesson,Organization,https://fortune.com/company/mckesson/
9,Exxon Mobil,Organization,https://fortune.com/company/exxon-mobil/
10,Cencora,Organization,https://fortune.com/company/amerisourcebergen/
11,Microsoft,Organization,https://fortune.com/company/microsoft/
12,JPMorgan Chase,Organization,https://fortune.com/company/jpmorgan-chase/
13,Costco Wholesale,Organization,https://fortune.com/company/costco/
14,Cigna Group,Organization,https://fortune.com/company/cigna/
15,Cardinal Health,Organization,https://fortune.com/company/cardinal-health/
16,Nvidia,Organization,https://fortune.com/company/nvidia/
17,Meta Platforms,Organization,https://fortune.com/company/facebook/
18,Elevance Health,Organization,https://fortune.com/company/elevance-health/
19,Centene,Organization,https://fortune.com/company/centene/
20,Bank of America,Organization,https://fortune.com/company/bank-of-america-corp/
21,Chevron,Organization,https://fortune.com/company/chevron/
22,Ford Motor,Organization,https://fortune.com/company/ford-motor/
23,General Motors,Organization,https://fortune.com/company/general-motors/
24,Citigroup,Organization,https://fortune.com/company/citigroup/
25,Home Depot,Organization,https://fortune.com/company/home-depot/
26,Fannie Mae,Organization,https://fortune.com/company/fannie-mae/
27,Kroger,Organization,https://fortune.com/company/kroger/
28,Verizon Communications,Organization,https://fortune.com/company/verizon/
29,Phillips 66,Organization,https://fortune.com/company/phillips/
30,Marathon Petroleum,Organization,https://fortune.com/company/marathon-petroleum/
31,StoneX Group,Organization,https://fortune.com/company/stonex-group/
32,State Farm Insurance,Organization,https://fortune.com/company/state-farm-insurance-cos/
33,Freddie Mac,Organization,https://fortune.com/company/freddie-mac/
34,Humana,Organization,https://fortune.com/company/humana/
35,AT&T,Organization,https://fortune.com/company/att/
36,Goldman Sachs Group,Organization,https://fortune.com/company/goldman-sachs-group/
37,Comcast,Organization,https://fortune.com/company/comcast/
38,Wells Fargo,Organization,https://fortune.com/company/wells-fargo/
39,Morgan Stanley,Organization,https://fortune.com/company/morgan-stanley/
40,Valero Energy,Organization,https://fortune.com/company/valero-energy/
41,Dell Technologies,Organization,https://fortune.com/company/dell-technologies/
42,Target,Organization,https://fortune.com/company/target/
43,Tesla,Organization,https://fortune.com/company/tesla/
44,Walt Disney,Organization,https://fortune.com/company/disney/
45,Johnson & Johnson,Organization,https://fortune.com/company/johnson-johnson/
46,PepsiCo,Organization,https://fortune.com/company/pepsico/
47,Boeing,Organization,https://fortune.com/company/boeing/
48,UPS,Organization,https://fortune.com/company/ups/
49,RTX,Organization,https://fortune.com/company/raytheon-technologies/
50,FedEx,Organization,https://fortune.com/company/fedex/
51,Progressive,Organization,https://fortune.com/company/progressive/
52,Lowe's,Organization,https://fortune.com/company/lowes/
53,Energy Transfer,Organization,https://fortune.com/company/energy-transfer-equity/
54,Procter & Gamble,Organization,https://fortune.com/company/procter-gamble/
55,Sysco,Organization,https://fortune.com/company/sysco/
56,American Express,Organization,https://fortune.com/company/american-express/
57,Albertsons,Organization,https://fortune.com/company/albertsons-cos/
58,Archer Daniels Midland,Organization,https://fortune.com/company/archer-daniels-midland/
59,MetLife,Organization,https://fortune.com/company/metlife/
60,HCA Healthcare,Organization,https://fortune.com/company/hca-holdings/
61,Lockheed Martin,Organization,https://fortune.com/company/lockheed-martin/
62,New York Life Insurance,Organization,https://fortune.com/company/new-york-life-insurance/
63,Capital One Financial,Organization,https://fortune.com/company/capital-one-financial/
64,Allstate,Organization,https://fortune.com/company/allstate/
65,Caterpillar,Organization,https://fortune.com/company/caterpillar/
66,IBM,Organization,https://fortune.com/company/ibm/
67,Eli Lilly,Organization,https://fortune.com/company/eli-lilly/
68,Merck,Organization,https://fortune.com/company/merck/
69,Nationwide,Organization,https://fortune.com/company/nationwide/
70,Broadcom,Organization,https://fortune.com/company/broadcom/
71,Delta Air Lines,Organization,https://fortune.com/company/delta-air-lines/
72,Publix Super Markets,Organization,https://fortune.com/company/publix-super-markets/
73,Pfizer,Organization,https://fortune.com/company/pfizer/
74,TD Synnex,Organization,https://fortune.com/company/synnex/
75,ConocoPhillips,Organization,https://fortune.com/company/conocophillips/
76,Galaxy Digital,Organization,https://fortune.com/company/galaxy-digital/
77,AbbVie,Organization,https://fortune.com/company/abbvie/
78,Prudential Financial,Organization,https://fortune.com/company/prudential-financial/
79,TJX,Organization,https://fortune.com/company/tjx/
80,Performance Food Group,Organization,https://fortune.com/company/performance-food-group/
81,United Airlines Holdings,Organization,https://fortune.com/company/united-continental-holdings/
82,Oracle,Organization,https://fortune.com/company/oracle/
83,Cisco Systems,Organization,https://fortune.com/company/cisco-systems-inc/
84,HP,Organization,https://fortune.com/company/hp/
85,Charter Communications,Organization,https://fortune.com/company/charter-communications/
86,American Airlines Group,Organization,https://fortune.com/company/american-airlines-group/
87,Tyson Foods,Organization,https://fortune.com/company/tyson-foods/
88,Intel,Organization,https://fortune.com/company/intel/
89,Enterprise Products Partners,Organization,https://fortune.com/company/enterprise-products-partners/
90,Ingram Micro Holding,Organization,https://fortune.com/company/ingram-micro/
91,General Dynamics,Organization,https://fortune.com/company/general-dynamics/
92,Uber Technologies,Organization,https://fortune.com/company/uber-technologies/
93,USAA,Organization,https://fortune.com/company/usaa/
94,TIAA,Organization,https://fortune.com/company/tiaa/
95,Liberty Mutual Insurance Group,Organization,https://fortune.com/company/liberty-mutual-insurance-group/
96,Travelers,Organization,https://fortune.com/company/travelers-cos/
97,Bristol-Myers Squibb,Organization,https://fortune.com/company/bristol-myers-squibb/
98,Coca-Cola,Organization,https://fortune.com/company/coca-cola/
99,Nike,Organization,https://fortune.com/company/nike/
100,Massachusetts Mutual Life,Organization,https://fortune.com/company/massachusetts-mutual-life-insurance/
